"","country_code","name","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020"
"47",834,"United Republic of Tanzania",7649.765,8729.667,10052.151,11634.837,13535.487,15885.228,18538.263,21633.799,25203.848,29649.128,33499.177,38450.323,44346.532,51482.638,59734.213
"48",894,"Zambia",2310.436,2644.976,3070.78,3570.466,4179.062,4943.279,5851.818,6923.148,8036.849,9096.608,10415.942,11856.244,13605.986,15879.37,18383.956
"49",716,"Zimbabwe",2746.852,3213.289,3776.679,4471.178,5289.312,6293.875,7408.63,8877.489,10432.409,11410.721,11881.482,12076.697,12697.728,13814.642,14862.927
"50",911,"Middle Africa",26453.755,29098.323,32222.194,35893.208,40170.679,45948.711,52885.376,60890.048,70855.116,83775.179,96115.549,112008.24,131622.131,154203.227,179595.125
"51",24,"Angola",4548.021,5043.251,5454.938,5770.573,5890.36,7023.994,8341.29,9961.993,11848.385,13945.205,16395.477,19433.604,23356.247,27884.38,32866.268
"52",120,"Cameroon",4307.021,4707,5176.92,5773.538,6519.754,7451.057,8621.409,10070.806,11780.086,13599.984,15513.944,17733.408,20341.236,23298.376,26545.864
"53",140,"Central African Republic",1326.66,1401.337,1501.668,1639.706,1811.157,1958.367,2199.359,2542.17,2806.74,3222.662,3640.421,4038.38,4386.765,4493.171,4829.764
"54",148,"Chad",2502.321,2735.205,3001.604,3309.583,3643.608,4088.568,4514.427,5095.4,5963.25,7010.159,8355.654,10096.63,11952.134,14110.971,16425.859
"55",178,"Congo",827.246,911.033,1018.254,1155.389,1326.894,1536.658,1777.932,2054.308,2356.74,2707.532,3127.42,3622.775,4273.738,4856.093,5518.092
"56",180,"Dem. Republic of the Congo",12183.662,13517.516,15248.256,17369.882,20011.033,22903.587,26358.905,29881.222,34612.023,41576.239,47105.83,54785.894,64563.853,76244.532,89561.404
"57",226,"Equatorial Guinea",225.53,239.866,255.338,276.296,303.986,255.808,249.931,352.116,419.188,496.768,606.18,749.527,943.64,1168.575,1402.985
"58",266,"Gabon",473.296,484.308,500.922,533.357,589.317,647.538,726.335,827.107,949.493,1084.951,1228.359,1390.55,1624.146,1947.69,2225.728
"59",678,"Sao Tome and Principe",59.998,58.807,64.294,64.884,74.57,83.134,95.788,104.926,119.211,131.679,142.264,157.472,180.372,199.439,219.161
"60",913,"Southern Africa",15533.036,17307.49,19410.549,21957.654,24975.152,28545.009,32440.464,37171.819,42046.342,47358.234,51443.866,54644.678,58383.366,62985.035,67503.647
"61",72,"Botswana",412.541,463.353,502.733,559.996,627.714,741.346,897.86,1069.585,1286.756,1469.173,1643.333,1799.077,1987.106,2120.716,2351.625
"62",748,"Eswatini",272.997,303.027,336.578,373.925,431.251,499.759,587.852,699.077,822.423,926.836,1005.432,1030.575,1064.841,1104.038,1160.164
"63",426,"Lesotho",704.686,766.763,837.264,922.307,1028.93,1160.795,1340.258,1526.132,1703.757,1898.598,2032.805,1996.115,1995.575,2059.011,2142.252
"64",516,"Namibia",514.378,567.846,634.138,716.588,817.474,947.925,1057.723,1198.149,1432.899,1627.866,1794.583,1938.316,2118.877,2314.901,2540.916
"65",710,"South Africa",13628.434,15206.501,17099.836,19384.838,22069.783,25195.184,28556.771,32678.876,36800.507,41435.761,44967.713,47880.595,51216.967,55386.369,59308.69
"66",914,"Western Africa",70875.174,77108.323,84947.076,94607.331,106080.024,120241.779,137799.461,157891.464,180535.022,205691.815,234748.62,267894.672,307040.41,351717.644,401861.255
